# x_m,y_m,w_tr_right_m,w_tr_left_m,grad_tan
120.2355,-176.625,4,4,0
121.9935,-175.995,4,4,0
123.6585,-175.14,4,4,0
125.2125,-174.105,4,4,0
126.6285,-172.875,4,4,0
127.902,-171.51,4,4,0
129.021,-170.01,4,4,0
129.9795,-168.405,4,4,0
130.776,-166.71,4,4,0
131.4075,-164.955,4,4,0
131.88,-163.14,4,4,0
132.195,-161.295,4,4,0
132.36,-159.435,4,4,0
132.3825,-157.56,4,4,0
132.27,-155.685,4,4,0
132.0315,-153.825,4,4,0
131.676,-151.995,4,4,0
131.2125,-150.18,4,4,0
130.6515,-148.3905,4,4,0
130.0035,-146.634,4,4,0
129.2745,-144.909,4,4,0
128.4765,-143.214,4,4,0
127.617,-141.5505,4,4,0
126.7065,-139.914,4,4,0
125.7495,-138.303,4,4,0
124.755,-136.7145,4,4,0
123.732,-135.1455,4,4,0
122.6865,-133.5915,4,4,0
121.6275,-132.0465,4,4,0
120.558,-130.5075,4,4,0
119.4885,-128.9715,4,4,0
118.4175,-127.434,4,4,0
117.3465,-125.8965,4,4,0
116.2755,-124.359,4,4,0
115.2045,-122.8215,4,4,0
114.135,-121.2855,4,4,0
113.064,-119.748,4,4,0
111.993,-118.2105,4,4,0
110.922,-116.673,4,4,0
109.851,-115.1355,4,4,0
108.78,-113.5995,4,4,0
107.7105,-112.062,4,4,0
106.6395,-110.526,4,4,0
105.5685,-108.987,4,4,0
104.4975,-107.4495,4,4,0
103.4265,-105.9135,4,4,0
102.3555,-104.376,4,4,0
101.286,-102.8385,4,4,0
100.215,-101.3025,4,4,0
99.144,-99.7635,4,4,0
98.073,-98.2275,4,4,0
97.002,-96.69,4,4,0
95.9325,-95.1525,4,4,0
94.8615,-93.615,4,4,0
93.7905,-92.0775,4,4,0
92.7195,-90.5415,4,4,0
91.6485,-89.004,4,4,0
90.5775,-87.4665,4,4,0
89.508,-85.929,4,4,0
88.437,-84.3915,4,4,0
87.366,-82.8555,4,4,0
86.295,-81.318,4,4,0
85.224,-79.7805,4,4,0
84.1545,-78.243,4,4,0
83.0835,-76.707,4,4,0
82.0125,-75.1695,4,4,0
80.9415,-73.632,4,4,0
79.8705,-72.0945,4,4,0
78.7995,-70.557,4,4,0
77.73,-69.021,4,4,0
76.659,-67.4835,4,4,0
75.588,-65.946,4,4,0
74.517,-64.4085,4,4,0
73.446,-62.871,4,4,0
72.375,-61.335,4,4,0
71.3055,-59.7975,4,4,0
70.2345,-58.26,4,4,0
69.1635,-56.7225,4,4,0
68.0925,-55.185,4,4,0
67.026,-53.646,4,4,0
65.9625,-52.1025,4,4,0
64.9095,-50.5545,4,4,0
63.8655,-48.999,4,4,0
62.838,-47.433,4,4,0
61.827,-45.855,4,4,0
60.8385,-44.265,4,4,0
59.8725,-42.6585,4,4,0
58.935,-41.037,4,4,0
58.029,-39.3975,4,4,0
57.156,-37.74,4,4,0
56.3235,-36.0615,4,4,0
55.5315,-34.365,4,4,0
54.786,-32.646,4,4,0
54.09,-30.9075,4,4,0
53.448,-29.148,4,4,0
52.8615,-27.369,4,4,0
52.329,-25.572,4,4,0
51.855,-23.76,4,4,0
51.4365,-21.9345,4,4,0
51.075,-20.097,4,4,0
50.772,-18.249,4,4,0
50.526,-16.392,4,4,0
50.3385,-14.5278,4,4,0
50.2095,-12.6591,4,4,0
50.139,-10.78725,4,4,0
50.1255,-8.9142,4,4,0
50.172,-7.04175,4,4,0
50.277,-5.1714,4,4,0
50.439,-3.3054,4,4,0
50.661,-1.445415,4,4,0
50.94,0.406815,4,4,0
51.276,2.2494,4,4,0
51.6705,4.0806,4,4,0
52.1205,5.8986,4,4,0
52.629,7.70175,4,4,0
53.193,9.4881,4,4,0
53.811,11.25585,4,4,0
54.486,13.00365,4,4,0
55.2135,14.7294,4,4,0
55.995,16.431,4,4,0
56.829,18.108,4,4,0
57.7155,19.758,4,4,0
58.653,21.381,4,4,0
59.6415,22.9725,4,4,0
60.678,24.5325,4,4,0
61.7625,26.0595,4,4,0
62.8965,27.5505,4,4,0
64.0815,28.9995,4,4,0
65.3265,30.399,4,4,0
66.636,31.7385,4,4,0
68.0145,33.006,4,4,0
69.465,34.191,4,4,0
70.989,35.2785,4,4,0
72.585,36.255,4,4,0
74.2515,37.107,4,4,0
75.9825,37.821,4,4,0
77.769,38.376,4,4,0
79.6005,38.763,4,4,0
81.4605,38.9655,4,4,0
83.331,38.97,4,4,0
85.1895,38.7675,4,4,0
87.012,38.3475,4,4,0
88.77,37.71,4,4,0
90.4395,36.867,4,4,0
92.0055,35.8455,4,4,0
93.459,34.6665,4,4,0
94.7925,33.3525,4,4,0
96.0045,31.9275,4,4,0
97.0995,30.408,4,4,0
98.082,28.815,4,4,0
98.9595,27.1605,4,4,0
99.7425,25.458,4,4,0
100.4385,23.721,4,4,0
101.061,21.9555,4,4,0
101.6295,20.169,4,4,0
102.15,18.369,4,4,0
102.6375,16.5615,4,4,0
103.107,14.74755,4,4,0
103.5735,12.933,4,4,0
104.049,11.121,4,4,0
104.5455,9.3156,4,4,0
105.0855,7.5213,4,4,0
105.675,5.74335,4,4,0
106.329,3.98835,4,4,0
107.061,2.2644,4,4,0
107.8815,0.58122,4,4,0
108.8025,-1.04937,4,4,0
109.8315,-2.61345,4,4,0
110.976,-4.09515,4,4,0
112.2375,-5.4759,4,4,0
113.622,-6.73545,4,4,0
115.1235,-7.85175,4,4,0
116.736,-8.80125,4,4,0
118.4445,-9.5598,4,4,0
120.2325,-10.10595,4,4,0
122.0745,-10.42965,4,4,0
123.942,-10.53135,4,4,0
125.808,-10.4154,4,4,0
127.65,-10.08885,4,4,0
129.4455,-9.56175,4,4,0
131.1735,-8.84565,4,4,0
132.8175,-7.95405,4,4,0
134.364,-6.9012,4,4,0
135.801,-5.70225,4,4,0
137.118,-4.3728,4,4,0
138.3075,-2.92845,4,4,0
139.3665,-1.38465,4,4,0
140.289,0.243825,4,4,0
141.075,1.94265,4,4,0
141.7245,3.69825,4,4,0
142.239,5.49825,4,4,0
142.62,7.33095,4,4,0
142.875,9.186,4,4,0
143.004,11.05395,4,4,0
143.0145,12.92625,4,4,0
142.914,14.796,4,4,0
142.7055,16.6575,4,4,0
142.395,18.504,4,4,0
141.993,20.3325,4,4,0
141.504,22.14,4,4,0
140.9325,23.925,4,4,0
140.289,25.683,4,4,0
139.578,27.417,4,4,0
138.807,29.1225,4,4,0
137.9805,30.804,4,4,0
137.1045,32.46,4,4,0
136.1865,34.0935,4,4,0
135.231,35.7045,4,4,0
134.244,37.296,4,4,0
133.2315,38.8725,4,4,0
132.1965,40.434,4,4,0
131.1465,41.985,4,4,0
130.0845,43.5285,4,4,0
129.015,45.0675,4,4,0
127.9455,46.6035,4,4,0
126.8745,48.141,4,4,0
125.8035,49.6785,4,4,0
124.7325,51.216,4,4,0
123.663,52.7535,4,4,0
122.5905,54.2895,4,4,0
121.521,55.827,4,4,0
120.45,57.3645,4,4,0
119.379,58.902,4,4,0
118.308,60.4395,4,4,0
117.237,61.9755,4,4,0
116.1675,63.513,4,4,0
115.0965,65.0505,4,4,0
114.0255,66.588,4,4,0
112.9545,68.1255,4,4,0
111.8835,69.6615,4,4,0
110.814,71.199,4,4,0
109.7415,72.7365,4,4,0
108.672,74.274,4,4,0
107.601,75.8115,4,4,0
106.53,77.3475,4,4,0
105.459,78.885,4,4,0
104.3895,80.4225,4,4,0
103.3185,81.96,4,4,0
102.2475,83.496,4,4,0
101.1765,85.0335,4,4,0
100.1055,86.571,4,4,0
99.0345,88.1085,4,4,0
97.9635,89.6445,4,4,0
96.882,91.1745,4,4,0
95.7825,92.6895,4,4,0
94.6425,94.1775,4,4,0
93.4605,95.628,4,4,0
92.22,97.0335,4,4,0
90.912,98.3745,4,4,0
89.5305,99.6375,4,4,0
88.068,100.8075,4,4,0
86.523,101.8635,4,4,0
84.8955,102.7875,4,4,0
83.19,103.557,4,4,0
81.4155,104.151,4,4,0
79.5885,104.547,4,4,0
77.727,104.7255,4,4,0
75.858,104.679,4,4,0
74.0055,104.418,4,4,0
72.192,103.959,4,4,0
70.4325,103.3215,4,4,0
68.739,102.525,4,4,0
67.122,101.589,4,4,0
65.5725,100.5315,4,4,0
64.104,99.3705,4,4,0
62.7075,98.1225,4,4,0
61.3785,96.8025,4,4,0
60.111,95.424,4,4,0
58.896,93.999,4,4,0
57.7245,92.538,4,4,0
56.583,91.0515,4,4,0
55.464,89.55,4,4,0
54.3525,88.041,4,4,0
53.244,86.5305,4,4,0
52.137,85.02,4,4,0
51.0285,83.5095,4,4,0
49.92,82.0005,4,4,0
48.8115,80.49,4,4,0
47.703,78.9795,4,4,0
46.5945,77.469,4,4,0
45.486,75.96,4,4,0
44.3775,74.4495,4,4,0
43.269,72.939,4,4,0
42.1605,71.4285,4,4,0
41.052,69.918,4,4,0
39.9435,68.409,4,4,0
38.835,66.8985,4,4,0
37.7265,65.388,4,4,0
36.618,63.8775,4,4,0
35.5095,62.367,4,4,0
34.401,60.858,4,4,0
33.2925,59.3475,4,4,0
32.184,57.837,4,4,0
31.0755,56.3265,4,4,0
29.967,54.816,4,4,0
28.8585,53.307,4,4,0
27.75,51.7965,4,4,0
26.6415,50.286,4,4,0
25.533,48.7755,4,4,0
24.4245,47.265,4,4,0
23.316,45.756,4,4,0
22.2075,44.2455,4,4,0
21.099,42.735,4,4,0
19.9905,41.2245,4,4,0
18.882,39.714,4,4,0
17.7735,38.205,4,4,0
16.665,36.6945,4,4,0
15.5565,35.184,4,4,0
14.4477,33.6735,4,4,0
13.3392,32.163,4,4,0
12.2307,30.654,4,4,0
11.1222,29.1435,4,4,0
10.0137,27.633,4,4,0
8.9052,26.1225,4,4,0
7.7994,24.6105,4,4,0
6.7059,23.0895,4,4,0
5.64375,21.5475,4,4,0
4.6272,19.974,4,4,0
3.67515,18.36,4,4,0
2.80695,16.701,4,4,0
2.04255,14.99235,4,4,0
1.403805,13.23285,4,4,0
0.906105,11.42835,4,4,0
0.5442,9.59145,4,4,0
0.29748,7.7352,4,4,0
0.143742,5.8686,4,4,0
0.0599685,3.99735,4,4,0
0.0229125,2.12445,4,4,0
0.0092286,0.251145,4,4,0
